ticker,last_close,last_change_pct,last_change,last_volume(M),last_date,fiftytwo_week_max,fiftytwo_week_min,sma_21,sma_50,sma_200,rsi,atr,atr%,up_3_days,down_3_days,max_value_latest_week,max_date_latest_week,min_value_latest_week,min_date_latest_week,pct_change_latest_week,max_value_latest_month,max_date_latest_month,min_value_latest_month,min_date_latest_month,pct_change_latest_month,max_value_latest_year,max_date_latest_year,min_value_latest_year,min_date_latest_year,pct_change_latest_year,max_value_all_time,max_date_all_time,min_value_all_time,min_date_all_time,pct_change_all_time,security,sector,sub_industry,headquarter,date_added,cik,founded
ADP,307.2,0.85,2.59,0.43,2024-11-26,308.0,229.0,299.5,290.5,261.0,66.75,4.26,1.39,0,0,307.2,2024-11-26,304.8,2024-11-25,0.85,308.0,2024-11-12,288.2,2024-11-01,6.62,308.0,2024-11-12,232.5,2024-01-03,31.62,308.0,2024-11-12,0.81,1980-03-27,37470.0,Automatic Data Processing,Industrials,Human Resource & Employment Services,"Roseland, New Jersey",1981-03-31,8670,1949
ADSK,317.8,-0.5,-1.59,1.32,2024-11-26,321.2,199.9,303.5,288.5,252.6,66.75,6.46,2.03,0,0,319.5,2024-11-25,317.8,2024-11-26,-0.5,321.2,2024-11-22,286.5,2024-11-01,10.9,321.2,2024-11-22,199.9,2024-05-30,35.75,342.2,2021-08-25,0.5,1985-06-28,63460.0,Autodesk,Information Technology,Application Software,"San Francisco, California",1989-12-01,769397,1982
AEE,94.2,0.71,0.66,0.27,2024-11-26,94.2,67.94,90.1,88.4,78.25,66.9,1.51,1.6,0,0,94.2,2024-11-26,93.5,2024-11-25,0.71,94.2,2024-11-26,85.9,2024-11-01,9.68,94.2,2024-11-26,67.94,2024-02-08,27.28,98.5,2022-04-20,19.77,2009-03-09,120.0,Ameren,Utilities,Multi-Utilities,"St. Louis, Missouri",1991-09-19,1002910,1902
AEP,98.9,0.82,0.8,0.66,2024-11-26,104.94,75.94,96.75,98.9,92.2,56.0,1.59,1.6,0,0,98.9,2024-11-26,98.1,2024-11-25,0.82,100.4,2024-11-05,92.94,2024-11-12,1.7,104.94,2024-09-16,75.94,2024-02-08,18.9,105.2,2022-09-12,13.62,1974-12-23,188.2,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",1957-03-04,4904,1906
AES,12.69,-3.57,-0.47,9.76,2024-11-26,21.77,12.69,14.2,16.6,17.48,25.48,0.56,4.39,0,0,13.16,2024-11-25,12.69,2024-11-26,-3.57,15.51,2024-11-05,12.69,2024-11-26,-13.73,21.77,2024-05-30,12.69,2024-11-26,-34.38,70.6,2000-10-02,0.95,2002-10-16,287.2,AES Corporation,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",1998-10-02,874761,1981
AFL,113.75,0.49,0.56,0.44,2024-11-26,115.25,76.2,109.56,110.9,95.5,62.0,1.78,1.56,1,0,113.75,2024-11-26,113.2,2024-11-25,0.49,113.75,2024-11-26,104.5,2024-11-04,8.64,115.25,2024-10-04,76.2,2024-02-01,36.6,115.25,2024-10-04,0.09,1981-08-31,inf,Aflac,Financials,Life & Health Insurance,"Columbus, Georgia",1999-05-28,4977,1955
AIG,75.75,-0.24,-0.18,1.45,2024-11-26,80.56,64.6,75.9,75.6,75.3,49.3,1.45,1.91,0,0,75.94,2024-11-25,75.75,2024-11-26,-0.24,77.0,2024-11-06,74.7,2024-11-20,0.07,80.56,2024-05-17,66.75,2024-01-17,10.07,2074.0,2000-12-08,7.0,2009-03-05,206.8,American International Group,Financials,Multi-line Insurance,"New York City, New York",1980-03-31,5272,1919
AIZ,228.5,0.47,1.07,0.13,2024-11-26,228.5,161.2,210.4,201.5,183.1,81.25,3.96,1.73,1,0,228.5,2024-11-26,227.5,2024-11-25,0.47,228.5,2024-11-26,191.2,2024-11-04,19.17,228.5,2024-11-26,161.2,2024-07-05,34.53,228.5,2024-11-26,12.77,2008-11-20,825.0,Assurant,Financials,Multi-line Insurance,"Atlanta, Georgia",2007-04-10,1267238,1892
AJG,311.2,1.56,4.79,0.6,2024-11-26,311.2,220.1,293.0,289.0,267.5,73.75,5.33,1.71,1,0,311.2,2024-11-26,306.5,2024-11-25,1.56,311.2,2024-11-26,280.5,2024-11-01,10.98,311.2,2024-11-26,225.0,2024-01-02,38.3,311.2,2024-11-26,1.72,1984-06-26,16780.0,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,"Rolling Meadows, Illinois",2016-05-31,354190,1927
AKAM,93.44,-1.27,-1.2,0.88,2024-11-26,128.4,85.94,94.5,98.94,99.44,46.72,2.51,2.68,0,0,94.6,2024-11-25,93.44,2024-11-26,-1.27,104.7,2024-11-06,85.94,2024-11-18,-7.09,128.4,2024-02-09,85.94,2024-11-18,-20.05,327.5,1999-12-31,0.67,2002-10-07,-35.62,Akamai Technologies,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",2007-07-12,1086222,1998
ALB,108.06,-1.75,-1.93,1.13,2024-11-26,152.4,72.9,103.1,98.6,106.1,57.66,4.66,4.31,0,0,110.0,2024-11-25,108.06,2024-11-26,-1.75,110.5,2024-11-11,96.56,2024-11-06,9.99,146.9,2024-01-02,72.9,2024-08-14,-26.44,325.5,2022-11-11,6.19,1995-03-27,1390.0,Albemarle Corporation,Materials,Specialty Chemicals,"Charlotte, North Carolina",2016-07-01,915913,1994
ALGN,227.8,-5.3,-12.76,0.9,2024-11-26,330.2,204.0,220.5,227.9,258.8,52.7,8.93,3.92,0,0,240.5,2024-11-25,227.8,2024-11-26,-5.3,240.5,2024-11-25,208.6,2024-11-01,9.2,330.2,2024-04-09,204.0,2024-08-07,-15.3,730.0,2021-09-08,1.3,2002-11-13,1250.0,Align Technology,Health Care,Health Care Supplies,"Tempe, Arizona",2017-06-19,1097149,1997
ALL,207.0,2.46,4.97,0.7,2024-11-26,207.0,135.4,194.6,192.0,174.6,68.56,4.13,1.99,0,0,207.0,2024-11-26,202.0,2024-11-25,2.46,207.0,2024-11-26,182.4,2024-11-04,12.41,207.0,2024-11-26,143.8,2024-01-02,43.94,207.0,2024-11-26,11.44,1994-04-21,1309.0,Allstate,Financials,Property & Casualty Insurance,"Northbrook, Illinois",1995-07-13,899051,1931
ALLE,140.2,-1.66,-2.38,0.33,2024-11-26,153.4,104.1,140.8,144.0,131.8,45.03,2.61,1.86,0,0,142.6,2024-11-25,140.2,2024-11-26,-1.66,143.8,2024-11-08,138.1,2024-11-19,0.33,153.4,2024-10-18,114.6,2024-06-26,12.91,153.4,2024-10-18,40.7,2013-12-06,189.4,Allegion,Industrials,Building Products,"Dublin, Ireland",2013-12-02,1579241,1908
AMAT,171.8,-1.62,-2.83,2.67,2024-11-26,255.0,144.8,181.1,189.2,204.0,39.06,5.64,3.28,0,1,174.5,2024-11-25,171.8,2024-11-26,-1.62,194.1,2024-11-07,168.9,2024-11-15,-6.36,255.0,2024-07-10,149.0,2024-01-05,11.24,255.0,2024-07-10,0.08,1980-03-27,inf,Applied Materials,Information Technology,Semiconductor Materials & Equipment,"Santa Clara, California",1995-03-16,6951,1967
AMCR,10.36,-1.15,-0.12,7.35,2024-11-26,11.44,8.83,10.36,10.83,10.14,45.56,0.25,2.43,0,0,10.48,2024-11-25,10.36,2024-11-26,-1.15,10.49,2024-11-22,9.89,2024-11-19,0.97,11.44,2024-08-30,8.83,2024-04-16,6.26,13.49,2022-06-06,5.95,2020-03-16,34.56,Amcor,Materials,Paper & Plastic Packaging Products & Materials,"Warmley, Bristol, United Kingdom",2019-06-07,1748790,2019 (1860)
AMD,137.0,-2.95,-4.17,23.42,2024-11-26,211.4,116.8,142.9,153.1,160.2,39.28,4.83,3.52,0,0,141.1,2024-11-25,137.0,2024-11-26,-2.95,149.9,2024-11-07,134.9,2024-11-15,-3.45,211.4,2024-03-07,128.6,2024-08-07,-1.17,211.4,2024-03-07,1.62,2015-07-27,4252.0,Advanced Micro Devices,Information Technology,Semiconductors,"Santa Clara, California",2017-03-20,2488,1969
AME,196.1,-0.51,-1.0,0.6,2024-11-26,197.4,152.5,188.8,177.6,173.2,72.44,3.08,1.57,0,0,197.1,2024-11-25,196.1,2024-11-26,-0.51,197.4,2024-11-22,178.4,2024-11-01,9.91,197.4,2024-11-22,152.8,2024-08-02,20.4,197.4,2024-11-22,1.28,1990-09-28,10820.0,Ametek,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",2013-09-23,1037868,1930
AMGN,271.8,-7.55,-22.2,12.08,2024-11-26,337.5,262.8,303.5,314.5,305.8,28.19,9.71,3.57,0,0,294.0,2024-11-25,271.8,2024-11-26,-7.55,325.2,2024-11-08,271.8,2024-11-26,-14.85,337.5,2024-09-20,262.8,2024-04-18,-8.6,337.5,2024-09-20,0.08,1984-11-19,inf,Amgen,Health Care,Biotechnology,"Thousand Oaks, California",1992-01-02,318154,1980
AMP,572.0,0.29,1.67,0.14,2024-11-26,572.0,345.5,548.5,514.5,447.5,70.9,9.89,1.73,0,0,572.0,2024-11-26,570.0,2024-11-25,0.29,572.0,2024-11-22,506.5,2024-11-04,12.76,572.0,2024-11-22,372.0,2024-01-17,50.88,572.0,2024-11-22,12.37,2008-11-21,1445.0,Ameriprise Financial,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",2005-10-03,820027,1894
AMT,207.0,-0.26,-0.53,0.97,2024-11-26,242.9,171.0,203.5,217.4,205.0,49.2,4.6,2.22,0,0,207.5,2024-11-25,207.0,2024-11-26,-0.26,213.9,2024-11-05,193.8,2024-11-12,-2.01,242.9,2024-09-10,171.0,2024-04-18,-5.39,303.5,2021-09-08,0.71,2002-10-09,1091.0,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",2007-11-19,1053507,1995
AMTM,24.69,-0.5,-0.12,0.59,2024-11-26,33.4,21.94,28.0,,,40.5,1.75,7.07,0,0,24.81,2024-11-25,24.69,2024-11-26,-0.5,33.4,2024-11-08,21.94,2024-11-19,-19.83,33.4,2024-11-08,21.94,2024-11-19,-16.34,33.4,2024-11-08,21.94,2024-11-19,-16.34,Amentum,Industrials,Diversified Support Services,"Chantilly, Virginia",2024-09-30,2011286,2020
AMZN,206.0,2.27,4.58,27.23,2024-11-26,214.1,144.5,202.1,193.8,184.1,57.7,5.3,2.57,0,0,206.0,2024-11-26,201.5,2024-11-25,2.27,214.1,2024-11-13,195.8,2024-11-04,4.09,214.1,2024-11-13,144.6,2024-01-04,37.4,214.1,2024-11-13,0.07,1997-05-22,inf,Amazon,Consumer Discretionary,Broadline Retail,"Seattle, Washington",2005-11-18,1018724,1994
ANET,408.5,2.18,8.71,1.02,2024-11-26,431.0,213.4,396.8,395.0,331.5,56.7,12.94,3.17,0,0,408.5,2024-11-26,399.8,2024-11-25,2.18,431.0,2024-11-07,370.5,2024-11-18,3.62,431.0,2024-11-07,229.4,2024-01-03,76.4,431.0,2024-11-07,13.25,2016-02-09,2870.0,Arista Networks,Information Technology,Communications Equipment,"Santa Clara, California",2018-08-28,1596532,2004
ANSS,349.5,-0.75,-2.65,0.18,2024-11-26,363.0,279.2,338.5,329.2,326.8,60.97,7.02,2.01,0,0,352.2,2024-11-25,349.5,2024-11-26,-0.75,355.5,2024-11-07,323.8,2024-11-01,7.95,357.8,2024-01-11,296.5,2024-08-05,-0.99,411.2,2021-12-27,1.41,1997-04-22,11670.0,Ansys,Information Technology,Application Software,"Canonsburg, Pennsylvania",2017-06-19,1013462,1969
AON,388.5,-0.3,-1.16,0.53,2024-11-26,389.8,275.8,378.5,364.0,324.2,67.2,6.46,1.66,0,0,389.8,2024-11-25,388.5,2024-11-26,-0.3,389.8,2024-11-25,364.5,2024-11-01,6.62,389.8,2024-11-25,275.8,2024-05-29,34.9,389.8,2024-11-25,2.48,1981-02-20,14370.0,Aon,Financials,Insurance Brokers,"London, UK",1996-04-23,315293,1982 (1919)
AOS,74.0,-1.9,-1.43,0.33,2024-11-26,92.0,71.44,74.25,79.6,82.7,43.34,1.52,2.05,0,0,75.44,2024-11-25,74.0,2024-11-26,-1.9,76.2,2024-11-06,71.44,2024-11-19,-1.86,92.0,2024-07-16,71.44,2024-11-19,-9.14,92.0,2024-07-16,0.55,1987-12-15,6732.0,A. O. Smith,Industrials,Building Products,"Milwaukee, Wisconsin",2017-07-26,91142,1916
APA,22.45,-0.93,-0.21,2.66,2024-11-26,37.28,21.77,22.7,24.25,28.73,43.28,0.78,3.49,0,0,22.67,2024-11-25,22.45,2024-11-26,-0.93,24.73,2024-11-06,21.77,2024-11-08,-2.73,36.75,2024-01-03,21.77,2024-11-08,-37.8,146.8,2008-05-20,2.71,1988-09-16,531.0,APA Corporation,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1997-07-28,1841666,1954
APD,333.8,-0.06,-0.2,0.38,2024-11-26,334.0,215.4,318.0,312.2,270.2,73.4,5.7,1.71,0,0,334.0,2024-11-25,333.8,2024-11-26,-0.06,334.0,2024-11-25,306.0,2024-11-04,7.94,334.0,2024-11-25,215.4,2024-02-07,22.05,334.0,2024-11-25,2.78,1982-08-12,8264.0,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940
APH,73.3,-1.35,-1.0,11.0,2024-11-25,74.3,44.97,,,,61.06,1.71,,0,0,73.3,2024-11-25,73.3,2024-11-25,0.0,74.3,2024-11-22,67.9,2024-11-01,8.0,74.3,2024-11-22,47.22,2024-01-05,51.38,74.3,2024-11-22,0.08,1992-10-29,50620.0,Amphenol,Information Technology,Electronic Components,"Wallingford, Connecticut",2008-09-30,820313,1932
APTV,55.47,-2.89,-1.65,2.22,2024-11-26,90.5,52.12,56.25,64.56,72.06,40.78,2.23,4.02,0,0,57.12,2024-11-25,55.47,2024-11-26,-2.89,57.12,2024-11-25,52.12,2024-11-19,-1.58,90.2,2024-01-02,52.12,2024-11-19,-38.47,178.1,2021-11-03,16.45,2011-11-23,210.2,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,"Dublin, Ireland",2012-12-24,1521332,1994
ARE,111.4,-0.62,-0.69,0.53,2024-11-26,134.5,104.3,110.0,115.06,118.7,50.7,2.48,2.23,0,0,112.06,2024-11-25,111.4,2024-11-26,-0.62,114.06,2024-11-08,104.3,2024-11-20,0.44,129.8,2024-01-08,104.3,2024-11-20,-13.89,223.6,2021-12-29,21.0,1997-05-28,430.2,Alexandria Real Estate Equities,Real Estate,Office REITs,"Pasadena, California",2017-03-20,1035443,1994
ATO,149.6,-0.4,-0.6,0.17,2024-11-26,150.2,110.9,144.1,141.5,125.4,69.2,2.1,1.4,0,0,150.1,2024-11-25,149.6,2024-11-26,-0.4,150.2,2024-11-21,137.6,2024-11-04,8.08,150.2,2024-11-21,110.9,2024-01-24,27.92,150.2,2024-11-21,5.04,1984-08-30,2580.0,Atmos Energy,Utilities,Gas Utilities,"Dallas, Texas",2019-02-15,731802,1906
AVB,234.5,0.68,1.59,0.26,2024-11-26,234.8,170.0,228.2,226.4,205.2,60.62,4.1,1.75,1,0,234.5,2024-11-26,232.9,2024-11-25,0.68,234.5,2024-11-26,216.2,2024-11-01,8.42,234.8,2024-09-13,170.0,2024-02-05,24.61,258.2,2022-03-29,17.0,1995-04-25,1023.5,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,"Arlington, Virginia",2007-01-10,915912,1978
AVGO,162.9,-1.18,-1.95,8.27,2024-11-26,186.0,90.4,171.4,173.8,152.0,38.2,4.95,3.04,0,0,164.9,2024-11-25,162.9,2024-11-26,-1.18,183.8,2024-11-07,162.9,2024-11-26,-3.58,186.0,2024-10-09,104.9,2024-01-04,50.06,186.0,2024-10-09,1.45,2009-11-03,9970.0,Broadcom,Information Technology,Semiconductors,"Palo Alto, California",2014-05-08,1730168,1961
AVY,205.8,-1.07,-2.24,0.2,2024-11-26,229.5,189.8,203.4,210.2,216.2,51.16,3.5,1.7,0,0,208.0,2024-11-25,205.8,2024-11-26,-1.07,208.0,2024-11-25,197.0,2024-11-19,-0.2,229.5,2024-06-24,195.4,2024-01-08,3.02,229.5,2024-06-24,1.56,1978-03-15,3890.0,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,"Mentor, Ohio",1987-12-31,8818,1990
AWK,135.6,-0.78,-1.07,0.5,2024-11-26,149.9,113.8,135.6,139.5,132.6,46.25,2.56,1.89,0,1,136.8,2024-11-25,135.6,2024-11-26,-0.78,138.8,2024-11-21,132.0,2024-11-14,-0.24,149.9,2024-09-17,113.8,2024-04-16,1.62,188.9,2021-12-31,16.53,2009-03-10,558.5,American Water Works,Utilities,Water Utilities,"Camden, New Jersey",2016-03-04,1410636,1886
AXON,625.5,1.04,6.44,0.34,2024-11-26,637.0,225.9,547.0,473.0,352.8,76.6,20.4,3.26,0,0,625.5,2024-11-26,619.0,2024-11-25,1.04,637.0,2024-11-22,425.8,2024-11-01,46.88,637.0,2024-11-22,244.2,2024-01-05,148.5,637.0,2024-11-22,0.28,2002-10-15,inf,Axon Enterprise,Industrials,Aerospace & Defense,"Scottsdale, Arizona",2023-05-04,1069183,1993
AXP,304.8,-0.12,-0.37,1.21,2024-11-26,305.2,165.6,286.2,277.8,245.1,70.75,5.72,1.88,0,0,305.2,2024-11-25,304.8,2024-11-26,-0.12,305.2,2024-11-25,270.2,2024-11-04,11.79,305.2,2024-11-25,179.8,2024-01-18,61.88,305.2,2024-11-25,1.13,1974-10-03,8150.0,American Express,Financials,Consumer Finance,"New York City, New York",1976-06-30,4962,1850
AZO,3128.0,0.62,19.31,0.11,2024-11-26,3240.0,2522.0,3100.0,3112.0,3024.0,51.7,62.94,2.01,1,0,3128.0,2024-11-26,3110.0,2024-11-25,0.62,3196.0,2024-11-06,2982.0,2024-11-01,4.95,3240.0,2024-03-22,2522.0,2024-01-09,21.81,3240.0,2024-03-22,7.12,1991-04-05,42500.0,AutoZone,Consumer Discretionary,Automotive Retail,"Memphis, Tennessee",1997-01-02,866787,1979
BA,151.6,-0.95,-1.46,5.17,2024-11-26,264.2,138.1,148.2,151.5,173.2,53.25,4.83,3.18,0,0,153.1,2024-11-25,151.6,2024-11-26,-0.95,155.1,2024-11-04,138.1,2024-11-14,-1.91,251.8,2024-01-02,138.1,2024-11-14,-39.78,440.5,2019-03-01,0.38,1974-01-08,18320.0,Boeing,Industrials,Aerospace & Defense,"Arlington, Virginia",1957-03-04,12927,1916
BAC,47.66,0.35,0.17,13.58,2024-11-26,47.66,29.53,45.0,42.56,39.4,73.9,0.86,1.8,1,0,47.66,2024-11-26,47.5,2024-11-25,0.35,47.66,2024-11-26,41.34,2024-11-04,14.14,47.66,2024-11-26,31.73,2024-01-18,40.6,54.9,2006-11-16,0.83,1974-12-20,930.5,Bank of America,Financials,Diversified Banks,"Charlotte, North Carolina",1976-06-30,70858,1998 (1923 / 1874)
BALL,62.16,-0.49,-0.31,0.53,2024-11-26,70.75,53.72,60.97,63.88,64.6,50.7,1.2,1.92,0,0,62.47,2024-11-25,62.16,2024-11-26,-0.49,62.47,2024-11-13,59.0,2024-11-01,5.33,70.75,2024-04-29,54.62,2024-01-17,9.08,97.94,2020-11-19,0.12,1973-11-26,22160.0,Ball Corporation,Materials,"Metal, Glass & Plastic Containers","Broomfield, Colorado",1984-10-31,9389,1880
BAX,32.75,-1.97,-0.66,1.99,2024-11-26,43.78,31.7,34.12,35.94,37.3,36.38,0.88,2.69,0,0,33.4,2024-11-25,32.75,2024-11-26,-1.97,36.12,2024-11-06,31.7,2024-11-14,-8.67,43.78,2024-03-08,31.7,2024-11-14,-15.68,94.1,2020-04-20,2.96,1984-12-04,750.0,Baxter International,Health Care,Health Care Equipment,"Deerfield, Illinois",1972-09-30,10456,1931
BBY,87.1,-6.34,-5.9,7.54,2024-11-26,103.3,69.6,90.0,94.4,85.4,41.47,3.15,3.62,0,0,93.0,2024-11-25,87.1,2024-11-26,-6.34,93.0,2024-11-25,86.5,2024-11-21,-4.15,103.3,2024-09-30,69.6,2024-05-23,12.78,138.0,2021-11-22,0.14,1985-05-02,52200.0,Best Buy,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",1999-06-29,764478,1966
BDX,223.5,-0.88,-1.98,0.94,2024-11-26,247.8,221.5,230.0,234.9,235.8,38.25,4.22,1.89,0,0,225.5,2024-11-25,223.5,2024-11-26,-0.88,240.0,2024-11-06,222.4,2024-11-20,-4.99,247.8,2024-01-08,221.5,2024-07-09,-8.93,283.5,2023-07-27,1.28,1974-08-19,9780.0,Becton Dickinson,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",1972-09-30,10795,1897
BEN,22.19,-2.31,-0.52,1.43,2024-11-26,30.19,19.12,21.4,20.77,23.12,61.25,0.55,2.46,0,0,22.72,2024-11-25,22.19,2024-11-26,-2.31,22.72,2024-11-25,20.16,2024-11-04,6.5,29.33,2024-01-08,19.12,2024-09-06,-24.22,58.84,2014-12-08,0.04,1984-11-16,35000.0,Franklin Resources,Financials,Asset Management & Custody Banks,"San Mateo, California",1998-04-30,38777,1947
BF-B,41.3,-2.96,-1.26,1.03,2024-11-26,60.78,40.22,42.0,45.47,47.3,39.4,1.07,2.6,0,0,42.56,2024-11-25,41.3,2024-11-26,-2.96,43.78,2024-11-04,40.22,2024-11-19,-5.23,60.78,2024-03-05,40.22,2024-11-19,-27.34,81.8,2020-11-24,0.41,1980-03-27,9224.0,Brown–Forman,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",1982-10-31,14693,1870
BG,89.5,1.21,1.07,0.76,2024-11-26,114.56,82.6,87.25,91.9,99.5,51.2,2.1,2.35,0,0,89.5,2024-11-26,88.44,2024-11-25,1.21,91.3,2024-11-18,82.6,2024-11-01,8.34,114.56,2024-07-30,82.6,2024-11-01,-11.81,133.0,2008-01-14,15.85,2001-08-17,459.5,Bunge Global,Consumer Staples,Agricultural Products & Services,"Chesterfield, Missouri",2023-03-15,1996862,1818
BIIB,156.9,-1.14,-1.81,0.72,2024-11-26,267.8,155.4,167.4,180.2,207.0,24.9,4.25,2.71,0,0,158.8,2024-11-25,156.9,2024-11-26,-1.14,176.9,2024-11-05,155.4,2024-11-19,-9.72,267.8,2024-01-02,155.4,2024-11-19,-41.38,476.0,2015-03-20,0.35,1994-12-16,4920.0,Biogen,Health Care,Biotechnology,"Cambridge, Massachusetts",2003-11-13,875045,1978
BK,81.1,-0.14,-0.11,1.43,2024-11-26,81.25,47.1,77.75,75.44,63.8,69.8,1.23,1.52,0,0,81.25,2024-11-25,81.1,2024-11-26,-0.14,81.25,2024-11-25,75.0,2024-11-04,7.69,81.25,2024-11-25,51.8,2024-01-03,54.84,81.25,2024-11-25,0.98,1974-09-13,5340.0,BNY Mellon,Financials,Asset Management & Custody Banks,"New York City, New York",1995-03-31,1390777,1784
